availability-domain.boot_attached,boot-volume-id.boot_attached,compartment-id.boot_attached,display-name.boot_attached,encryption-in-transit-type.boot_attached,id.boot_attached,instance-id.boot_attached,is-pv-encryption-in-transit-enabled.boot_attached,lifecycle-state.boot_attached,time-created.boot_attached
NdNQ:US-ASHBURN-AD-1,ocid1.bootvolume.oc1.iad.abuwcljs3imxh3l27kmgikncpd5gl4c6isupm75dxkyzptzveo3iqz4wdqca,ocid1.compartment.oc1..aaaaaaaabceux4eqqk734t67fl42uvbevk27gagcxqwar55yz6cbqdgoahda,Remote boot attachment for instance,NONE,ocid1.instance.oc1.iad.anuwcljslbs56rqcwesqg37me73pliz75wthqlz6brg7iwuvfusje22ckifq,ocid1.instance.oc1.iad.anuwcljslbs56rqcwesqg37me73pliz75wthqlz6brg7iwuvfusje22ckifq,False,ATTACHED,2022-10-19T07:38:38.659000+00:00
NdNQ:US-ASHBURN-AD-1,ocid1.bootvolume.oc1.iad.abuwcljsf26ggvjgeofr7kxiyjng546lqwhdchgg3oxsln3g3o6twd32jeda,ocid1.compartment.oc1..aaaaaaaabceux4eqqk734t67fl42uvbevk27gagcxqwar55yz6cbqdgoahda,Remote boot attachment for instance,NONE,ocid1.instance.oc1.iad.anuwcljslbs56rqcdmb7hzrtbirama7wl7myjijyecjv2rmcbb4khwdhwloa,ocid1.instance.oc1.iad.anuwcljslbs56rqcdmb7hzrtbirama7wl7myjijyecjv2rmcbb4khwdhwloa,False,ATTACHED,2022-10-26T14:33:59.009000+00:00
NdNQ:US-ASHBURN-AD-1,ocid1.bootvolume.oc1.iad.abuwcljsjfquuvx7el4tk7xy5b3zwijuc2bcnd3czrhfsp2u5gbehnxnluaa,ocid1.compartment.oc1..aaaaaaaabceux4eqqk734t67fl42uvbevk27gagcxqwar55yz6cbqdgoahda,Remote boot attachment for instance,NONE,ocid1.instance.oc1.iad.anuwcljslbs56rqcb3y5xdgdxcsb4bbrwu5elc236qpfegaehyl25yyidyua,ocid1.instance.oc1.iad.anuwcljslbs56rqcb3y5xdgdxcsb4bbrwu5elc236qpfegaehyl25yyidyua,True,ATTACHED,2022-10-19T07:25:33.309000+00:00
NdNQ:US-ASHBURN-AD-1,ocid1.bootvolume.oc1.iad.abuwcljsjlyi7b24q6osvpq7bgbyhvqngrocwd44flutg4gzk5crek3zliea,ocid1.compartment.oc1..aaaaaaaabceux4eqqk734t67fl42uvbevk27gagcxqwar55yz6cbqdgoahda,Remote boot attachment for instance,NONE,ocid1.instance.oc1.iad.anuwcljslbs56rqcknr5wskmi7uoqejd77efywart7rjeljm5dtpj36cvnbq,ocid1.instance.oc1.iad.anuwcljslbs56rqcknr5wskmi7uoqejd77efywart7rjeljm5dtpj36cvnbq,False,ATTACHED,2022-10-19T06:53:38.510000+00:00
NdNQ:US-ASHBURN-AD-1,ocid1.bootvolume.oc1.iad.abuwcljspbqeurpm5psftvsyccfqs7icx6aexdbzt3wy25hqejpe7qvzirka,ocid1.compartment.oc1..aaaaaaaabceux4eqqk734t67fl42uvbevk27gagcxqwar55yz6cbqdgoahda,Remote boot attachment for instance,NONE,ocid1.instance.oc1.iad.anuwcljslbs56rqcrd7qxbjjzs6noiqwh52mqnla454cbfpusyv5yfbrthga,ocid1.instance.oc1.iad.anuwcljslbs56rqcrd7qxbjjzs6noiqwh52mqnla454cbfpusyv5yfbrthga,True,ATTACHED,2022-10-25T11:37:02+00:00
NdNQ:US-ASHBURN-AD-1,ocid1.bootvolume.oc1.iad.abuwcljs3vjkt5hsibzmmqmei4bpnzdo6zliyxs5wluttmghyb7a7yrxpxla,ocid1.compartment.oc1..aaaaaaaahn7dcuabp4hy3gaqdke3bmqha7dmrigeoedauksvvl34qcbo7apq,Remote boot attachment for instance,NONE,ocid1.instance.oc1.iad.anuwcljslbs56rqc25fujtkbf4y6cxepw4zcybi36n5a2a7zhwaeaizotfdq,ocid1.instance.oc1.iad.anuwcljslbs56rqc25fujtkbf4y6cxepw4zcybi36n5a2a7zhwaeaizotfdq,False,ATTACHED,2023-03-19T18:01:20.507000+00:00
NdNQ:US-ASHBURN-AD-1,ocid1.bootvolume.oc1.iad.abuwcljsarkne4givfopuf47arsc2vrnzszxixmqiyfm3kjs5lm67tbdmtiq,ocid1.compartment.oc1..aaaaaaaahn7dcuabp4hy3gaqdke3bmqha7dmrigeoedauksvvl34qcbo7apq,Remote boot attachment for instance,NONE,ocid1.instance.oc1.iad.anuwcljslbs56rqcftjawbzkjjm7ujw62wq4egfwbs362ejirhoi55qgkrda,ocid1.instance.oc1.iad.anuwcljslbs56rqcftjawbzkjjm7ujw62wq4egfwbs362ejirhoi55qgkrda,False,ATTACHED,2023-09-15T05:31:06.567000+00:00
NdNQ:US-ASHBURN-AD-1,ocid1.bootvolume.oc1.iad.abuwcljskezlruoane3yie62ijjyia5wv5eayxcf5sj4n5anqloaonidph4a,ocid1.compartment.oc1..aaaaaaaahn7dcuabp4hy3gaqdke3bmqha7dmrigeoedauksvvl34qcbo7apq,Remote boot attachment for instance,NONE,ocid1.instance.oc1.iad.anuwcljslbs56rqcd4bbat4dxevi4y5dvkcactxgv5di4q3fyk3nmcnb3q2a,ocid1.instance.oc1.iad.anuwcljslbs56rqcd4bbat4dxevi4y5dvkcactxgv5di4q3fyk3nmcnb3q2a,False,ATTACHED,2023-07-27T08:23:28.661000+00:00
NdNQ:US-ASHBURN-AD-1,ocid1.bootvolume.oc1.iad.abuwcljsqkkaottq7wmnmcnsuzqhkjohrwyfnthts2qa4lwnbzwvvarlciuq,ocid1.compartment.oc1..aaaaaaaahn7dcuabp4hy3gaqdke3bmqha7dmrigeoedauksvvl34qcbo7apq,Remote boot attachment for instance,NONE,ocid1.instance.oc1.iad.anuwcljslbs56rqc57ntmwx7nwqdmurwjh6egmfqjglud4eolzu5767cmxna,ocid1.instance.oc1.iad.anuwcljslbs56rqc57ntmwx7nwqdmurwjh6egmfqjglud4eolzu5767cmxna,False,ATTACHED,2023-02-08T08:57:46.523000+00:00
NdNQ:US-ASHBURN-AD-1,ocid1.bootvolume.oc1.iad.abuwcljssx34jdyhwuq3zucxmhzvh3ekfbp6snerspacwjojsxhelopnd2za,ocid1.compartment.oc1..aaaaaaaahn7dcuabp4hy3gaqdke3bmqha7dmrigeoedauksvvl34qcbo7apq,Remote boot attachment for instance,NONE,ocid1.instance.oc1.iad.anuwcljslbs56rqccauyevfznbp622pwra2zbzmzdxnvuvub2nki4xkwwbca,ocid1.instance.oc1.iad.anuwcljslbs56rqccauyevfznbp622pwra2zbzmzdxnvuvub2nki4xkwwbca,False,ATTACHED,2022-07-05T02:29:07.913000+00:00
NdNQ:US-ASHBURN-AD-1,ocid1.bootvolume.oc1.iad.abuwcljsj2ahdmztfoifjithzpuimyaf6bwsfxdvrxttdm2tdq3vjvtetbda,ocid1.compartment.oc1..aaaaaaaayhthdq3zsrckwpnxkkpxn566keys7oezpaec5itwpoyk2mukdg2a,Remote boot attachment for instance,NONE,ocid1.instance.oc1.iad.anuwcljslbs56rqcsabb6pkmw5spv2iwuqjwiqc5a6dpgrf7qlfqch6cbana,ocid1.instance.oc1.iad.anuwcljslbs56rqcsabb6pkmw5spv2iwuqjwiqc5a6dpgrf7qlfqch6cbana,False,ATTACHED,2023-11-20T12:17:51.072000+00:00
NdNQ:US-ASHBURN-AD-1,ocid1.bootvolume.oc1.iad.abuwcljsrlssqy7db37j23rjn5gvbtdcrvag54hvssklnc2xxhykde4brs2q,ocid1.compartment.oc1..aaaaaaaayhthdq3zsrckwpnxkkpxn566keys7oezpaec5itwpoyk2mukdg2a,Remote boot attachment for instance,NONE,ocid1.instance.oc1.iad.anuwcljslbs56rqciiuyfytgbt5efrcsaiag5wk5hsv7yfyh5byvfnzn4dgq,ocid1.instance.oc1.iad.anuwcljslbs56rqciiuyfytgbt5efrcsaiag5wk5hsv7yfyh5byvfnzn4dgq,False,DETACHED,2023-11-28T06:35:39.124000+00:00
NdNQ:US-ASHBURN-AD-1,ocid1.bootvolume.oc1.iad.abuwcljsvfftyjtfnj64ork2kvltvgeyg65vc6pniuay2bqte447vtwjltwq,ocid1.compartment.oc1..aaaaaaaayhthdq3zsrckwpnxkkpxn566keys7oezpaec5itwpoyk2mukdg2a,Remote boot attachment for instance,NONE,ocid1.instance.oc1.iad.anuwcljslbs56rqcxrgqtsqrytdnfvzwjballvhpof2nl3s3jov7f5acuwtq,ocid1.instance.oc1.iad.anuwcljslbs56rqcxrgqtsqrytdnfvzwjballvhpof2nl3s3jov7f5acuwtq,False,ATTACHED,2023-11-27T12:22:23.532000+00:00
