availability-domain.vnic,compartment-id.vnic,defined-tags.vnic,display-name.vnic,freeform-tags.vnic,hostname-label.vnic,id.vnic,ipv6-addresses.vnic,is-primary.vnic,lifecycle-state.vnic,mac-address.vnic,nsg-ids.vnic,private-ip.vnic,public-ip.vnic,skip-source-dest-check.vnic,subnet-id.vnic,time-created.vnic,vlan-id.vnic
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaabceux4eqqk734t67fl42uvbevk27gagcxqwar55yz6cbqdgoahda,"{'Oracle-Tags': {'CreatedBy': 'oracleidentitycloudservice/nabotpal@bourntec.com', 'CreatedOn': '2022-10-19T07:38:33.320Z'}}",AIML_poc,{},aiml-poc,ocid1.vnic.oc1.iad.abuwcljsnzjhlrdg5h7updzp6fqr7yf2dwnzkdddwq57ie2r5eljboet4iba,,True,AVAILABLE,02:00:17:04:EA:79,[],10.0.10.244,,False,ocid1.subnet.oc1.iad.aaaaaaaaoeqyhmavtgujgndu3ep4te6oz6jreqjvczvg3wye4kstwcngf3iq,2022-10-19T07:38:39.450000+00:00,
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaabceux4eqqk734t67fl42uvbevk27gagcxqwar55yz6cbqdgoahda,"{'Oracle-Tags': {'CreatedBy': 'oracleidentitycloudservice/nabotpal@bourntec.com', 'CreatedOn': '2022-10-25T11:36:56.222Z'}}",Bastion_Linux,{},bastion-linux,ocid1.vnic.oc1.iad.abuwcljsyf6guqlbkgiwuhloqqi2v3xf7tcdo7ezeck365uhphww5tzt2fia,,True,AVAILABLE,00:00:17:01:F8:87,['ocid1.networksecuritygroup.oc1.iad.aaaaaaaatvi44u7sy45ihpjfb5uqjwrichz6o3sxalkt3bsixyrzpgdlj6pq'],10.0.0.149,132.145.203.10,False,ocid1.subnet.oc1.iad.aaaaaaaanyt6j6sbcy3ghqeqws4qmrzk2fzklb4qwo3h2r6dava2tza5kxsa,2022-10-25T11:37:02.704000+00:00,
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaabceux4eqqk734t67fl42uvbevk27gagcxqwar55yz6cbqdgoahda,"{'Oracle-Tags': {'CreatedBy': 'oracleidentitycloudservice/nabotpal@bourntec.com', 'CreatedOn': '2022-10-26T14:33:55.978Z'}}",Blockchain_Test1,{},blockchain-test1,ocid1.vnic.oc1.iad.abuwcljse5oc2eqtfqna7ivj5efacyp63knkprl5f6mouv5awztljupz7nna,,True,AVAILABLE,02:00:17:13:3C:7A,['ocid1.networksecuritygroup.oc1.iad.aaaaaaaatvi44u7sy45ihpjfb5uqjwrichz6o3sxalkt3bsixyrzpgdlj6pq'],10.0.10.162,,False,ocid1.subnet.oc1.iad.aaaaaaaaoeqyhmavtgujgndu3ep4te6oz6jreqjvczvg3wye4kstwcngf3iq,2022-10-26T14:33:59.849000+00:00,
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaabceux4eqqk734t67fl42uvbevk27gagcxqwar55yz6cbqdgoahda,"{'Oracle-Tags': {'CreatedBy': 'oracleidentitycloudservice/nabotpal@bourntec.com', 'CreatedOn': '2022-10-19T07:25:28.690Z'}}",bastion,{},bastion,ocid1.vnic.oc1.iad.abuwcljsxt37m2lpknfnth2egoumgq3jrlatyfcqcob5sgwz5pkwxpudnk6q,,True,AVAILABLE,02:00:17:13:AE:B6,"['ocid1.networksecuritygroup.oc1.iad.aaaaaaaaol5tjbaey2hytovzj2p7dzircf2rlym735bsofrgmd4zrggisxeq', 'ocid1.networksecuritygroup.oc1.iad.aaaaaaaatvi44u7sy45ihpjfb5uqjwrichz6o3sxalkt3bsixyrzpgdlj6pq']",10.0.0.108,150.136.183.224,False,ocid1.subnet.oc1.iad.aaaaaaaanyt6j6sbcy3ghqeqws4qmrzk2fzklb4qwo3h2r6dava2tza5kxsa,2022-10-19T07:25:33.882000+00:00,
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaabceux4eqqk734t67fl42uvbevk27gagcxqwar55yz6cbqdgoahda,"{'Oracle-Tags': {'CreatedBy': 'oracleidentitycloudservice/nabotpal@bourntec.com', 'CreatedOn': '2022-10-19T06:53:33.376Z'}}",devops_ESK,{},devops-esk,ocid1.vnic.oc1.iad.abuwcljsdjhw6ncceeadtnevoq2lgyerk4cdptoc3e2rumquarn3okg7pzaq,,True,AVAILABLE,02:00:17:04:44:CF,['ocid1.networksecuritygroup.oc1.iad.aaaaaaaatvi44u7sy45ihpjfb5uqjwrichz6o3sxalkt3bsixyrzpgdlj6pq'],10.0.10.100,,False,ocid1.subnet.oc1.iad.aaaaaaaaoeqyhmavtgujgndu3ep4te6oz6jreqjvczvg3wye4kstwcngf3iq,2022-10-19T06:53:38.993000+00:00,
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaahn7dcuabp4hy3gaqdke3bmqha7dmrigeoedauksvvl34qcbo7apq,"{'Oracle-Tags': {'CreatedBy': 'oracleidentitycloudservice/nabotpal@bourntec.com', 'CreatedOn': '2023-09-15T05:31:01.398Z'}}",ECCDEMO,{},eccdemo,ocid1.vnic.oc1.iad.abuwcljskduwmcquhrohznj6hbzs5jwfyvepola7gq4srb3w7pvpk25ba5uq,,True,AVAILABLE,02:00:17:0B:1D:62,['ocid1.networksecuritygroup.oc1.iad.aaaaaaaa2a7pmhaa4bk3o6pxeivdfmlvegz3wl5orxslx25zn2qlqm5sqewq'],10.10.0.236,132.145.201.11,False,ocid1.subnet.oc1.iad.aaaaaaaaxm7fzcqt5zfm6yz3paq6g32eynby4x2bkd7mrevd33mow2e5mira,2023-09-15T05:31:07.289000+00:00,
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaahn7dcuabp4hy3gaqdke3bmqha7dmrigeoedauksvvl34qcbo7apq,"{'Oracle-Tags': {'CreatedBy': 'oracleidentitycloudservice/nabotpal@bourntec.com', 'CreatedOn': '2022-07-05T02:29:03.532Z'}}",GFMONITOR,{},gfmonitor,ocid1.vnic.oc1.iad.abuwcljs57fpzmxu4pb6oarflog7yoqsjmliiyek5zrghgtz3otdjxbxfgnq,,True,AVAILABLE,02:00:17:07:A9:C9,"['ocid1.networksecuritygroup.oc1.iad.aaaaaaaa4odrcj5fperov77mpdwi4olaxq2755a3qxvp3u4st4li7hk6lt7q', 'ocid1.networksecuritygroup.oc1.iad.aaaaaaaahf7gbdvdhgavv5evrr3ahboy6hfwtesj3d3carccowciwuleehpq']",10.10.0.76,129.213.99.255,False,ocid1.subnet.oc1.iad.aaaaaaaaxm7fzcqt5zfm6yz3paq6g32eynby4x2bkd7mrevd33mow2e5mira,2022-07-05T02:29:08.772000+00:00,
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaahn7dcuabp4hy3gaqdke3bmqha7dmrigeoedauksvvl34qcbo7apq,"{'Oracle-Tags': {'CreatedBy': 'oracleidentitycloudservice/nabotpal@bourntec.com', 'CreatedOn': '2023-03-19T18:01:14.331Z'}}",OracleTestDB,{},oracletestdb,ocid1.vnic.oc1.iad.abuwcljsabhuemnpo2wiafokprw5c7pklazqtds5ziquaezfk27eocfk457q,,True,AVAILABLE,02:00:17:07:94:FD,['ocid1.networksecuritygroup.oc1.iad.aaaaaaaazkcznrlpstnrp4be43yvpnzjxu7kjagb6zipwifx3zihp5lkovaq'],10.10.20.223,150.136.77.212,False,ocid1.subnet.oc1.iad.aaaaaaaa5zp7hynycl3she5zclk5z6ciezscdpe4qpcsop6zexc5gkltqcva,2023-03-19T18:01:21.275000+00:00,
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaahn7dcuabp4hy3gaqdke3bmqha7dmrigeoedauksvvl34qcbo7apq,"{'Oracle-Tags': {'CreatedBy': 'oracleidentitycloudservice/nabotpal@bourntec.com', 'CreatedOn': '2023-07-27T08:23:11.328Z'}}",Vision_EBS_M2,{},vision-ebs-m2,ocid1.vnic.oc1.iad.abuwcljsvi6755h5p67maw7qdurvw2f7dk7ugbuhaw25begxcatuutvjhzvq,,True,AVAILABLE,02:00:17:19:45:E3,"['ocid1.networksecuritygroup.oc1.iad.aaaaaaaa2a7pmhaa4bk3o6pxeivdfmlvegz3wl5orxslx25zn2qlqm5sqewq', 'ocid1.networksecuritygroup.oc1.iad.aaaaaaaas6xs73ildttii2oaxt3iy6slmdqmfysiqzjolxqhnrjl6budk32q']",10.10.0.89,150.136.75.26,False,ocid1.subnet.oc1.iad.aaaaaaaaxm7fzcqt5zfm6yz3paq6g32eynby4x2bkd7mrevd33mow2e5mira,2023-07-27T08:23:29.217000+00:00,
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaahn7dcuabp4hy3gaqdke3bmqha7dmrigeoedauksvvl34qcbo7apq,"{'Oracle-Tags': {'CreatedBy': 'oracleidentitycloudservice/nabotpal@bourntec.com', 'CreatedOn': '2023-02-08T08:57:31.624Z'}}",Vision_new2023,{},vision-new2023,ocid1.vnic.oc1.iad.abuwcljsx3whjhja3v4t66gvt7ivp64s7r22zd32elz7ifyyfjrd52p4ifmq,,True,AVAILABLE,02:00:17:13:E7:E5,['ocid1.networksecuritygroup.oc1.iad.aaaaaaaa2a7pmhaa4bk3o6pxeivdfmlvegz3wl5orxslx25zn2qlqm5sqewq'],10.10.0.195,132.145.202.39,False,ocid1.subnet.oc1.iad.aaaaaaaaxm7fzcqt5zfm6yz3paq6g32eynby4x2bkd7mrevd33mow2e5mira,2023-02-08T08:57:47.729000+00:00,
