availability-domain.vnic_attached,compartment-id.vnic_attached,display-name.vnic_attached,id.vnic_attached,instance-id.vnic_attached,lifecycle-state.vnic_attached,nic-index.vnic_attached,subnet-id.vnic_attached,time-created.vnic_attached,vlan-id.vnic_attached,vlan-tag.vnic_attached,vnic-id.vnic_attached
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaabceux4eqqk734t67fl42uvbevk27gagcxqwar55yz6cbqdgoahda,,ocid1.vnicattachment.oc1.iad.anuwcljslbs56rqc3fg4vyovfjnrnqfhjsh7q4azq3vylqhc5msotl4ugdeq,ocid1.instance.oc1.iad.anuwcljslbs56rqcknr5wskmi7uoqejd77efywart7rjeljm5dtpj36cvnbq,ATTACHED,0,ocid1.subnet.oc1.iad.aaaaaaaaoeqyhmavtgujgndu3ep4te6oz6jreqjvczvg3wye4kstwcngf3iq,2022-10-19T06:53:39.931000+00:00,,3901,ocid1.vnic.oc1.iad.abuwcljsdjhw6ncceeadtnevoq2lgyerk4cdptoc3e2rumquarn3okg7pzaq
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaabceux4eqqk734t67fl42uvbevk27gagcxqwar55yz6cbqdgoahda,,ocid1.vnicattachment.oc1.iad.anuwcljslbs56rqca4jl4qv5uqdnr2cbbgsmlmsrsw3vkgciim4amy74noca,ocid1.instance.oc1.iad.anuwcljslbs56rqcdmb7hzrtbirama7wl7myjijyecjv2rmcbb4khwdhwloa,ATTACHED,0,ocid1.subnet.oc1.iad.aaaaaaaaoeqyhmavtgujgndu3ep4te6oz6jreqjvczvg3wye4kstwcngf3iq,2022-10-26T14:34:00.480000+00:00,,1129,ocid1.vnic.oc1.iad.abuwcljse5oc2eqtfqna7ivj5efacyp63knkprl5f6mouv5awztljupz7nna
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaabceux4eqqk734t67fl42uvbevk27gagcxqwar55yz6cbqdgoahda,,ocid1.vnicattachment.oc1.iad.anuwcljslbs56rqczxkji3zzuuoij2nbcdpai2wwynhjvzqbrvjhp4cll6xa,ocid1.instance.oc1.iad.anuwcljslbs56rqcwesqg37me73pliz75wthqlz6brg7iwuvfusje22ckifq,ATTACHED,0,ocid1.subnet.oc1.iad.aaaaaaaaoeqyhmavtgujgndu3ep4te6oz6jreqjvczvg3wye4kstwcngf3iq,2022-10-19T07:38:39.911000+00:00,,2475,ocid1.vnic.oc1.iad.abuwcljsnzjhlrdg5h7updzp6fqr7yf2dwnzkdddwq57ie2r5eljboet4iba
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaabceux4eqqk734t67fl42uvbevk27gagcxqwar55yz6cbqdgoahda,,ocid1.vnicattachment.oc1.iad.anuwcljslbs56rqc4sg7s2u7frtngi753ghvsn4ylro6ka2nwn3pjcl7g3qa,ocid1.instance.oc1.iad.anuwcljslbs56rqcb3y5xdgdxcsb4bbrwu5elc236qpfegaehyl25yyidyua,ATTACHED,0,ocid1.subnet.oc1.iad.aaaaaaaanyt6j6sbcy3ghqeqws4qmrzk2fzklb4qwo3h2r6dava2tza5kxsa,2022-10-19T07:25:34.532000+00:00,,3852,ocid1.vnic.oc1.iad.abuwcljsxt37m2lpknfnth2egoumgq3jrlatyfcqcob5sgwz5pkwxpudnk6q
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaabceux4eqqk734t67fl42uvbevk27gagcxqwar55yz6cbqdgoahda,,ocid1.vnicattachment.oc1.iad.anuwcljslbs56rqce4rvxepmqer2eynveiwkeepaf4u6lriuml6eiswkh23q,ocid1.instance.oc1.iad.anuwcljslbs56rqcrd7qxbjjzs6noiqwh52mqnla454cbfpusyv5yfbrthga,ATTACHED,0,ocid1.subnet.oc1.iad.aaaaaaaanyt6j6sbcy3ghqeqws4qmrzk2fzklb4qwo3h2r6dava2tza5kxsa,2022-10-25T11:37:03.406000+00:00,,2573,ocid1.vnic.oc1.iad.abuwcljsyf6guqlbkgiwuhloqqi2v3xf7tcdo7ezeck365uhphww5tzt2fia
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaahn7dcuabp4hy3gaqdke3bmqha7dmrigeoedauksvvl34qcbo7apq,,ocid1.vnicattachment.oc1.iad.anuwcljslbs56rqcgedvbxqfpiy7gcfnpnngsxvzhxriuukcp3wbts2j5g2q,ocid1.instance.oc1.iad.anuwcljslbs56rqccauyevfznbp622pwra2zbzmzdxnvuvub2nki4xkwwbca,ATTACHED,0,ocid1.subnet.oc1.iad.aaaaaaaaxm7fzcqt5zfm6yz3paq6g32eynby4x2bkd7mrevd33mow2e5mira,2022-07-05T02:29:09.853000+00:00,,3503,ocid1.vnic.oc1.iad.abuwcljs57fpzmxu4pb6oarflog7yoqsjmliiyek5zrghgtz3otdjxbxfgnq
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaahn7dcuabp4hy3gaqdke3bmqha7dmrigeoedauksvvl34qcbo7apq,,ocid1.vnicattachment.oc1.iad.anuwcljslbs56rqch2hd7majw2y4nmxozivw2rbuinwajovcmr3uxs7rkh4q,ocid1.instance.oc1.iad.anuwcljslbs56rqc25fujtkbf4y6cxepw4zcybi36n5a2a7zhwaeaizotfdq,ATTACHED,0,ocid1.subnet.oc1.iad.aaaaaaaa5zp7hynycl3she5zclk5z6ciezscdpe4qpcsop6zexc5gkltqcva,2023-03-19T18:01:21.793000+00:00,,3393,ocid1.vnic.oc1.iad.abuwcljsabhuemnpo2wiafokprw5c7pklazqtds5ziquaezfk27eocfk457q
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaahn7dcuabp4hy3gaqdke3bmqha7dmrigeoedauksvvl34qcbo7apq,,ocid1.vnicattachment.oc1.iad.anuwcljslbs56rqc6ictipdbenwrhovpcpjcdhvl7pphgzc7ewl5itthsj5a,ocid1.instance.oc1.iad.anuwcljslbs56rqcftjawbzkjjm7ujw62wq4egfwbs362ejirhoi55qgkrda,ATTACHED,0,ocid1.subnet.oc1.iad.aaaaaaaaxm7fzcqt5zfm6yz3paq6g32eynby4x2bkd7mrevd33mow2e5mira,2023-09-15T05:31:08.325000+00:00,,3381,ocid1.vnic.oc1.iad.abuwcljskduwmcquhrohznj6hbzs5jwfyvepola7gq4srb3w7pvpk25ba5uq
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaahn7dcuabp4hy3gaqdke3bmqha7dmrigeoedauksvvl34qcbo7apq,,ocid1.vnicattachment.oc1.iad.anuwcljslbs56rqcswpk6o2eetu777gktgg5tshscqz6pizswrxopl6pbufq,ocid1.instance.oc1.iad.anuwcljslbs56rqcd4bbat4dxevi4y5dvkcactxgv5di4q3fyk3nmcnb3q2a,ATTACHED,0,ocid1.subnet.oc1.iad.aaaaaaaaxm7fzcqt5zfm6yz3paq6g32eynby4x2bkd7mrevd33mow2e5mira,2023-07-27T08:23:29.671000+00:00,,1604,ocid1.vnic.oc1.iad.abuwcljsvi6755h5p67maw7qdurvw2f7dk7ugbuhaw25begxcatuutvjhzvq
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaahn7dcuabp4hy3gaqdke3bmqha7dmrigeoedauksvvl34qcbo7apq,,ocid1.vnicattachment.oc1.iad.anuwcljslbs56rqcabo6rf46puq7hpgu5ttyvikkkfukxynx36vnlqjnrxra,ocid1.instance.oc1.iad.anuwcljslbs56rqc57ntmwx7nwqdmurwjh6egmfqjglud4eolzu5767cmxna,ATTACHED,0,ocid1.subnet.oc1.iad.aaaaaaaaxm7fzcqt5zfm6yz3paq6g32eynby4x2bkd7mrevd33mow2e5mira,2023-02-08T08:57:48.529000+00:00,,1926,ocid1.vnic.oc1.iad.abuwcljsx3whjhja3v4t66gvt7ivp64s7r22zd32elz7ifyyfjrd52p4ifmq
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaayhthdq3zsrckwpnxkkpxn566keys7oezpaec5itwpoyk2mukdg2a,,ocid1.vnicattachment.oc1.iad.anuwcljslbs56rqcbs3symkasjmlobvkaepdqkgbckncva4ptjzh7uexnmxq,ocid1.instance.oc1.iad.anuwcljslbs56rqciiuyfytgbt5efrcsaiag5wk5hsv7yfyh5byvfnzn4dgq,DETACHED,0,ocid1.subnet.oc1.iad.aaaaaaaaho2l74cviau2rhrnr3rm4dgibxf6gnwlu4jjqsqtbknjhbf6zzeq,2023-11-28T06:35:40.030000+00:00,,3521,ocid1.vnic.oc1.iad.abuwcljs4y25ag2pal4i4zehuip2cn7xahzgrkmy4wsripx2tfweiw4ezq7a
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaayhthdq3zsrckwpnxkkpxn566keys7oezpaec5itwpoyk2mukdg2a,,ocid1.vnicattachment.oc1.iad.anuwcljslbs56rqcpomuxb6ohufvbb24yndcfytan4jxcl45mw5mnpnahtca,ocid1.instance.oc1.iad.anuwcljslbs56rqcxrgqtsqrytdnfvzwjballvhpof2nl3s3jov7f5acuwtq,ATTACHED,0,ocid1.subnet.oc1.iad.aaaaaaaaho2l74cviau2rhrnr3rm4dgibxf6gnwlu4jjqsqtbknjhbf6zzeq,2023-11-27T12:22:24.359000+00:00,,1865,ocid1.vnic.oc1.iad.abuwcljs6ddkhim3dvg2i3h4bwne24sqfukkiwzkj2phqhl52ubdse2v6elq
NdNQ:US-ASHBURN-AD-1,ocid1.compartment.oc1..aaaaaaaayhthdq3zsrckwpnxkkpxn566keys7oezpaec5itwpoyk2mukdg2a,,ocid1.vnicattachment.oc1.iad.anuwcljslbs56rqcrurllzaqrwi6pdzbu3lh6hheoujvtlygy2cudsy5hlpq,ocid1.instance.oc1.iad.anuwcljslbs56rqcsabb6pkmw5spv2iwuqjwiqc5a6dpgrf7qlfqch6cbana,ATTACHED,0,ocid1.subnet.oc1.iad.aaaaaaaaho2l74cviau2rhrnr3rm4dgibxf6gnwlu4jjqsqtbknjhbf6zzeq,2023-11-20T12:17:52.010000+00:00,,167,ocid1.vnic.oc1.iad.abuwcljsrkefryvjdftgmyoihjmb257mlemdaohqkbuqp23ck2nedhlirqiq
